City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,kiunga,-6.1219,141.2906,21.98,99,100,1.31,PG,1689696856
249,zwedru,6.0667,-8.1281,24.9,91,100,1.55,LR,1689696856
250,aasiaat,68.7098,-52.8699,3.24,94,100,3.27,GL,1689696857
251,calella,41.618,2.6678,40.67,82,4,4.43,ES,1689696857
252,kilis,36.7161,37.115,36.13,8,0,4.9,TR,1689696857
253,shimokizukuri,40.8061,140.3861,20.8,96,100,0.65,JP,1689696857
254,kolwezi,-10.7148,25.4667,21.29,24,5,1.95,CD,1689696857
255,grand falls-windsor,48.9332,-55.6649,31.39,62,84,0.89,CA,1689696858
256,kimbe,-5.5502,150.1429,23.21,87,31,2.47,PG,1689696858
257,katsuren-haebaru,26.3369,127.8719,28.01,83,74,4.62,JP,1689696858
258,hede,33.7681,120.2517,23.55,95,19,1.38,CN,1689696858
259,tolanaro,-25.0319,46.9987,21.17,84,1,5.44,MG,1689696858
260,keflavik,64.0049,-22.5624,13.24,67,20,8.75,IS,1689696859
261,san patricio,28.017,-97.5169,35.49,43,5,4.71,US,1689696859
262,vorgashor,67.5833,63.95,19.22,75,66,2.32,RU,1689696859
263,isla mujeres,21.2311,-86.731,31.03,70,32,4.02,MX,1689696859
264,bogra,24.85,89.3667,29.19,78,91,3.32,BD,1689696859
265,opuwo,-18.0607,13.84,23.9,12,0,3.44,NA,1689696859
266,sienna plantation,29.4861,-95.508,34.57,62,75,3.09,US,1689696860
267,mansa,29.9833,75.3833,32.39,62,100,4.13,IN,1689696865
268,berdigestyakh,62.0989,126.6992,12.93,89,98,3.17,RU,1689696865
269,seward,40.907,-97.0989,20.34,85,100,2.24,US,1689696865
270,isafjordur,66.0755,-23.124,10.02,76,0,3.09,IS,1689696866
271,pisco,-13.7,-76.2167,20.03,68,100,3.09,PE,1689696866
272,praia,14.9215,-23.5087,29.3,54,75,6.69,CV,1689696779
273,tazovsky,67.4667,78.7,15.31,68,62,4.64,RU,1689696866
274,nabire,-3.3667,135.4833,23.92,93,62,2.39,ID,1689696867
275,inhambane,-23.865,35.3833,19.19,74,0,3.57,MZ,1689696867
276,queenstown,-31.8976,26.8753,17.44,25,2,7.16,ZA,1689696867
277,vadso,70.0744,29.7487,17.09,77,20,1.54,NO,1689696867
278,al jahra',29.3375,47.6581,42.01,9,0,1.43,KW,1689696868
279,fuglafjordur,62.244,-6.814,9.26,90,100,10.44,FO,1689696868
280,batie,9.8833,-2.9167,33.88,42,36,2.19,BF,1689696868
281,souillac,-20.5167,57.5167,23.21,73,40,5.66,MU,1689696868
282,alakurtti,66.9672,30.3491,17.45,78,96,3.0,RU,1689696868
283,shar'ya,58.3686,45.5144,21.17,68,67,1.71,RU,1689696869
284,baykan,38.1627,41.7833,31.63,23,0,1.31,TR,1689696869
285,lubuklinggau,-3.3,102.8667,24.41,76,91,0.38,ID,1689696869
286,shingu,33.7333,135.9833,24.96,87,100,3.1,JP,1689696869
287,caspe,41.234,-0.0395,41.08,20,48,9.14,ES,1689696869
288,holualoa,19.6228,-155.9522,23.91,83,20,6.17,US,1689696869
289,tahe,52.3333,124.7333,18.2,57,19,1.78,CN,1689696870
290,kerikeri,-35.2268,173.9474,7.17,93,13,1.5,NZ,1689696870
291,lindsay,36.203,-119.0882,36.67,33,0,2.57,US,1689696870
292,ulaangom,49.9811,92.0667,20.54,42,83,1.66,MN,1689696871
293,mount gambier,-37.8333,140.7667,4.06,88,9,1.02,AU,1689696871
294,san antonio de pale,-1.4014,5.6325,23.51,84,30,5.13,GQ,1689696871
295,villa la angostura,-40.7617,-71.6463,3.72,80,100,1.02,AR,1689696872
296,al ghayzah,16.2079,52.176,26.68,84,21,4.75,YE,1689696872
297,naples,40.8333,14.25,35.48,59,0,3.6,IT,1689696872
298,nola,40.922,14.5329,35.36,63,2,3.03,IT,1689696872
299,kiama,-34.6833,150.8667,11.67,67,0,4.2,AU,1689696872
300,rongelap,11.1635,166.8941,28.33,77,31,6.1,MH,1689696873
301,hovd,48.0056,91.6419,21.82,39,64,3.53,MN,1689696873
302,tsiombe,-25.3,45.4833,20.59,84,0,5.25,MG,1689696873
303,illizi,26.4833,8.4667,38.89,8,1,7.47,DZ,1689696874
304,pauini,-7.7136,-66.9764,34.42,40,4,1.61,BR,1689696607
305,port isabel,26.0734,-97.2086,35.02,63,20,7.72,US,1689696874
306,harstad,68.799,16.5293,13.66,100,97,4.02,NO,1689696874
307,tobati,-25.25,-57.0667,15.9,34,0,3.57,PY,1689696874
308,gorontalo,0.5412,123.0595,24.88,92,100,0.93,ID,1689696811
309,linares,-35.85,-71.6,14.07,63,99,1.78,CL,1689696875
310,vetlanda,57.4289,15.0776,17.81,51,82,5.19,SE,1689696875
311,aljezur,37.3191,-8.8033,25.28,51,45,5.64,PT,1689696875
312,raton,36.9034,-104.4391,32.19,10,75,2.8,US,1689696875
313,belyy yar,53.6039,91.3903,17.94,82,0,2.0,RU,1689696876
314,dauphin,51.1494,-100.0502,19.08,77,0,2.57,CA,1689696876
315,kerema,-7.9631,145.7785,23.84,87,52,2.79,PG,1689696876
316,twon-brass,4.3151,6.2418,26.04,84,59,7.01,NG,1689696876
317,sosnogorsk,63.6023,53.8817,23.4,54,38,1.29,RU,1689696876
318,nuuk,64.1835,-51.7216,11.34,93,100,1.54,GL,1689696876
319,tarko-sale,64.9225,77.785,18.89,56,76,3.14,RU,1689696877
320,gokwe,-18.2048,28.9349,15.46,23,4,0.55,ZW,1689696877
321,tidjikja,18.5564,-11.4271,38.69,25,97,5.96,MR,1689696877
322,port alfred,-33.5906,26.891,17.32,90,22,1.34,ZA,1689696877
323,fortaleza,-3.7227,-38.5247,31.07,55,40,6.17,BR,1689696664
324,tarauaca,-8.1614,-70.7656,33.62,45,6,1.24,BR,1689696877
325,spring creek,40.7266,-115.5859,26.89,25,15,2.24,US,1689696616
326,kavalerovo,44.2661,135.0572,17.07,99,68,0.37,RU,1689696742
327,pariaman,-0.619,100.12,25.03,88,100,1.83,ID,1689696878
328,port-gentil,-0.7193,8.7815,22.98,86,70,6.98,GA,1689696878
329,fuxin,42.0156,121.6589,24.19,64,29,1.62,CN,1689696878
330,penzance,50.1186,-5.5371,17.62,94,20,4.63,GB,1689696878
331,international falls,48.6011,-93.411,20.64,72,40,0.45,US,1689696878
332,braniewo,54.3797,19.8196,18.95,62,66,7.54,PL,1689696879
333,robertsport,6.7533,-11.3686,25.86,83,87,4.7,LR,1689696879
334,mata-utu,-13.2816,-176.1745,26.01,85,100,5.42,WF,1689696879
335,tannum sands,-23.9504,151.3693,16.94,77,40,2.06,AU,1689696879
336,farasan,16.7022,42.1183,32.49,70,9,2.94,SA,1689696879
337,januaria,-15.4833,-44.3667,32.25,23,6,3.35,BR,1689696879
338,barbalha,-7.3111,-39.3042,30.89,42,20,4.12,BR,1689696880
339,prado,-17.3411,-39.2208,26.36,64,13,5.17,BR,1689696880
340,kone,-21.0595,164.8658,19.17,88,92,2.41,NC,1689696699
341,ksar chellala,35.2122,2.3189,39.56,6,1,4.56,DZ,1689696880
342,marsh harbour,26.5412,-77.0636,29.48,72,74,4.83,BS,1689696880
343,noumea,-22.2763,166.4572,17.99,75,74,4.18,NC,1689696614
344,colonia,50.9333,6.95,27.75,36,0,3.6,DE,1689696774
345,weno,7.4515,151.8468,25.97,94,100,2.06,FM,1689696881
346,koulamoutou,-1.1303,12.4736,29.82,60,98,1.55,GA,1689696881
347,urengoy,65.9667,78.3667,17.73,62,97,2.54,RU,1689696881
348,lys'va,58.1086,57.8053,17.28,87,100,3.2,RU,1689696881
349,howrah,22.5892,88.3103,29.0,89,20,2.06,IN,1689696881
350,trujillo,-8.116,-79.03,22.98,78,22,4.12,PE,1689696651
351,maceio,-9.6658,-35.7353,28.69,65,40,5.66,BR,1689696651
352,ad dilam,23.9915,47.1627,41.09,7,1,2.83,SA,1689696623
353,choyr,46.3611,108.3611,17.57,75,100,8.29,MN,1689696882
354,touros,-5.1989,-35.4608,28.62,63,36,7.8,BR,1689696882
355,chiredzi,-21.05,31.6667,19.34,35,0,2.25,ZW,1689696882
356,awjilah,29.1081,21.2869,38.88,10,0,6.09,LY,1689696882
357,teluknaga,-6.0989,106.6381,26.1,78,20,2.06,ID,1689696882
358,castillos,-34.1667,-53.8333,10.29,60,92,3.4,UY,1689696882
359,hamilton,39.1834,-84.5333,27.1,80,40,3.09,US,1689696631
360,nanning,22.8167,108.3167,26.25,93,100,6.99,CN,1689696882
361,cooper's town,26.8667,-77.5167,28.8,75,98,3.79,BS,1689696883
362,nacala,-14.5428,40.6728,22.99,73,1,4.97,MZ,1689696883
363,linkenheim-hochstetten,49.132,8.4124,29.9,36,63,0.29,DE,1689696883
